NeutTitreRelConvPlasma,Efficacy,Lower,Upper,NeutRatio_Reported,Study
0.001,0.232243713381275,-0.243637125732762,0.708124552495313,-3,LogisticModel
0.002,0.564107519442106,-0.422649286406312,1.55086432529052,-2.69897000433602,LogisticModel
0.003,0.940383642846155,-0.539381411162269,2.42014869685458,-2.52287874528034,LogisticModel
0.004,1.34393832450625,-0.603941013433326,3.29181766244582,-2.39794000867204,LogisticModel
0.005,1.76560881213578,-0.624398024016843,4.1556156482884,-2.30102999566398,LogisticModel
0.006,2.19966308090249,-0.607163060255328,5.00648922206031,-2.22184874961636,LogisticModel
0.007,2.64220750050838,-0.557415110898734,5.8418301119155,-2.15490195998574,LogisticModel
0.008,3.0904582137472,-0.479408372663593,6.66032480015798,-2.09691001300806,LogisticModel
0.009,3.54235421099054,-0.376687562510518,7.46139598449159,-2.04575749056068,LogisticModel
0.01,3.99633093443251,-0.25224188967319,8.2449037585382,-2,LogisticModel
0.011,4.45117840034237,-0.10861783436438,9.01097463504912,-1.95860731484178,LogisticModel
0.012,4.90594760908587,0.0519963744817595,9.75989884368999,-1.92081875395238,LogisticModel
0.013,5.35988629975855,0.227706206639709,10.4920663928774,-1.88605664769316,LogisticModel
0.014,5.81239342095843,0.416860648921857,11.207926192995,-1.85387196432176,LogisticModel
0.015,6.26298601281646,0.618012595509621,11.9079594301233,-1.82390874094432,LogisticModel
0.016,6.71127458745374,0.829887171409763,12.5926620034977,-1.79588001734408,LogisticModel
0.017,7.15694448707791,1.05135610872248,13.2625328654333,-1.76955107862173,LogisticModel
0.018,7.59974154382432,1.28141678321701,13.9180663044316,-1.74472749489669,LogisticModel
0.019,8.03946089681595,1.51917493355581,14.5597468600761,-1.72124639904717,LogisticModel
0.02,8.47593816644792,1.76383027303716,15.1880460598587,-1.69897000433602,LogisticModel
0.021,8.90904241527248,2.01466442523599,15.803420405309,-1.67778070526608,LogisticModel
0.022,9.33867048113749,2.2710307523264,16.4063102099486,-1.65757731917779,LogisticModel
0.023,9.76474237690396,2.53234570342588,16.997139050382,-1.63827216398241,LogisticModel
0.024,10.1871975280246,2.79808143200217,17.5763136240471,-1.61978875828839,LogisticModel
0.025,10.6059916746549,3.06775945135439,18.1442238979554,-1.60205999132796,LogisticModel
0.026,11.021094305424,3.34094516287365,18.7012434479743,-1.58502665202918,LogisticModel
0.027,11.4324865199368,3.61724311184642,19.2477299280271,-1.56863623584101,LogisticModel
0.028,11.8401592395099,3.89629285853441,19.7840256204853,-1.55284196865778,LogisticModel
0.029,12.2441117026356,4.17776536364915,20.310458041622,-1.53760200210104,LogisticModel
0.03,12.6443501946692,4.46135983392174,20.8273405554167,-1.52287874528034,LogisticModel
0.031,13.0408869712761,4.74680092347736,21.3349730190749,-1.50863830616573,LogisticModel
0.032,13.4337393429969,5.03383628513099,21.8336424008628,-1.49485002168009,LogisticModel
0.033,13.8229288944314,5.32223438733943,22.3236234015234,-1.48148606012211,LogisticModel
0.034,14.2084808164027,5.61178257689047,22.8051790559149,-1.46852108295774,LogisticModel
0.035,14.5904233333301,5.9022853629475,23.2785613037128,-1.45593195564972,LogisticModel
0.036,14.9687872111472,6.1935628758354,23.7440115464589,-1.44369749923271,LogisticModel
0.037,15.3436053335999,6.48544948764966,24.2017611795501,-1.43179827593301,LogisticModel
0.038,15.7149123367942,6.77779258762942,24.6520320859589,-1.42021640338319,LogisticModel
0.039,16.0827442935139,7.07045145708577,25.0950371299421,-1.4089353929735,LogisticModel
0.04,16.4471384401909,7.36329628516341,25.5309805952184,-1.39794000867204,LogisticModel
0.041,16.8081329405224,7.65620726053448,25.9600586205103,-1.38721614328026,LogisticModel
0.042,17.165766680659,7.9490737557956,26.3824596055225,-1.3767507096021,LogisticModel
0.043,17.5200790916505,8.24179358264802,26.798364600653,-1.36653154442041,LogisticModel
0.044,17.8711099954786,8.53427233798601,27.2079476529711,-1.35654732351381,LogisticModel
0.045,18.2188994715419,8.82642277383609,27.6113761692477,-1.34678748622466,LogisticModel
0.046,18.563487740907,9.1181642620927,28.0088112197213,-1.33724216831843,LogisticModel
0.047,18.9049150660194,9.40942227726395,28.4004078547749,-1.32790214206428,LogisticModel
0.048,19.2432216638897,9.70012793387477,28.7863153939046,-1.31875876262441,LogisticModel
0.049,19.5784476310412,9.99021757605335,29.166677686029,-1.30980391997149,LogisticModel
0.05,19.9106328787375,10.2796323806099,29.5416333768651,-1.30102999566398,LogisticModel
0.051,20.2398170772055,10.5683180037798,29.9113161506311,-1.29242982390206,LogisticModel
0.052,20.5660396077384,10.8562242649252,30.2758549505516,-1.2839966563652,LogisticModel
0.053,20.8893395217086,11.143304835508,30.6353742079093,-1.27572413039921,LogisticModel
0.054,21.209755505644,11.4295169813408,30.9899940299471,-1.26760624017703,LogisticModel
