time_period,time_identifier,geographic_level,country_code,country_name,date,phase,response_rate,number_responded,number_open_including_inset,proportion_open_including_inset,number_fully_open_settings,proportion_fully_open_settings,number_of_settings_with_one_or_more_students_self_isolating_due_to_COVID_contact_within_settings,proportion_of_settings_with_one_or_more_students_self_isolating_due_to_COVID_contact_within_settings,number_students_attending,proportion_students_attending,overall_attendance_rate_excl_year_11_13_students_not_in_attendance_adjusted,number_students_attending_fully_open_settings,proportion_students_attending_fully_open_settings,number_students_with_sw_attending,proportion_students_with_sw_attending,number_students_with_sw_attending_fully_open_settings,proportion_students_with_sw_attending_in_fully_open_settings,number_students_with_ehcp_attending,proportion_students_with_ehcp_attending,number_students_with_ehcp_attending_fully_open_settings,proportion_students_with_ehcp_attending_fully_open_settings,number_students_eligible_fsm_attending,proportion_students_eligible_fsm_attending,number_children_of_critical_workers_attending,number_of_otherwise_vulnerable_students_attending,total_students_absent_from_open_settings_with_a_suspected_case_of_COVID19,proportion_students_absent_with_a_suspected_case_of_COVID19,proportion_students_absent_with_a_suspected_case_of_COVID19_excl_year_11_13_students_who_are_not_in_attendance_adjusted,total_students_absent_from_open_settings_with_a_confirmed_case_of_COVID19,proportion_students_absent_with_a_confirmed_case_of_COVID19,proportion_students_absent_with_a_confirmed_case_of_COVID19_excl_year_11_13_students_who_are_not_in_attendance_adjusted,total_students_isolating_NHS_track_and_trace,proportion_students_isolating_NHS_track_and_trace,total_students_absent_from_open_settings_required_to_remain_at_home_or_isolate_in_line_with_government_guidance,proportion_students_required_to_remain_at_home_or_isolate_in_line_with_government_guidance,total_students_absent_due_to_attendance_restrictions,proportion_students_absent_due_to_attendance_restrictions,total_students_absent_other_isolation,proportion_students_absent_other_isolation,total_students_absent_from_open_settings_due_to_potential_contact_with_case_of_COVID19_inside_setting,proportion_students_absent_from_open_settings_due_to_potential_contact_with_case_of_COVID19_inside_setting,proportion_students_isolating_due_to_potential_contact_with_case_of_COVID19_inside_setting_excl_year_11_13_students_who_are_not_in_attendance_adjusted,total_students_absent_from_open_settings_due_to_potential_contact_with_case_of_COVID19_outside_setting,proportion_students_absent_from_open_settings_due_to_potential_contact_with_case_of_COVID19_outside_setting,proportion_students_isolating_due_to_potential_contact_with_case_of_COVID19_outside_setting_excl_year_11_13_students_who_are_not_in_attendance_adjusted,total_students_not_attending_because_setting_is_closed,total_students_unable_to_attend_because_setting_is_closed_due_to_COVID19_excl_year_11_13_students_who_are_not_in_attendance_adjusted,proportion_students_not_attending_because_setting_is_closed,proportion_students_unable_to_attend_because_setting_is_closed_due_to_COVID19_excl_year_11_13_students_who_are_not_in_attendance_adjusted,total_students_absent_for_all_covid_reasons,proportion_students_absent_for_all_covid_reasons
2020,Week 37,National,E92000001,England,2020/09/09,All state-funded schools,71,15300,21600,99.9,19700,90.9,-,-,7148000,87,-,6578000,90.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 37,National,E92000001,England,2020/09/10,All state-funded schools,73,15800,21600,99.9,20000,92.4,-,-,7231000,88,-,6747000,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 37,National,E92000001,England,2020/09/11,All state-funded schools,73,15700,21600,99.9,20100,92.7,-,-,7130000,86.8,-,6699000,88.7,133000,82.2,125000,84,232000,80.9,217000,83.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 38,National,E92000001,England,2020/09/14,All state-funded schools,75,16200,21600,99.9,20500,94.8,-,-,7118000,86.4,-,6768000,87.4,133000,82.2,126000,83.2,231000,80.7,218000,82.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 38,National,E92000001,England,2020/09/15,All state-funded schools,76,16400,21600,99.9,20400,94.4,-,-,7145000,86.7,-,6745000,87.7,133000,81.8,125000,83,231000,80.5,217000,82.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 38,National,E92000001,England,2020/09/16,All state-funded schools,75,16200,21600,99.9,20400,94.5,-,-,7187000,87.1,-,6791000,88.1,135000,81.9,127000,83.1,232000,81,220000,82.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 38,National,E92000001,England,2020/09/17,All state-funded schools,76,16400,21600,99.9,20400,94.1,-,-,7187000,87,-,6744000,88.1,134000,81.2,126000,82.5,232000,80.5,218000,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 38,National,E92000001,England,2020/09/18,All state-funded schools,75,16200,21600,99.9,20300,93.7,-,-,7081000,85.7,-,6622000,87.3,132000,80.1,123000,81.5,227000,78.9,212000,80.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 39,National,E92000001,England,2020/09/21,All state-funded schools,78,16800,21600,99.8,20400,94.2,-,-,7210000,87.2,-,6740000,88.7,134000,81.6,126000,83,232000,80.7,217000,82.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 39,National,E92000001,England,2020/09/22,All state-funded schools,77,16700,21600,99.8,20300,93.8,-,-,7240000,87.4,-,6698000,89.1,135000,81.8,125000,83.3,234000,81.3,219000,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 39,National,E92000001,England,2020/09/23,All state-funded schools,77,16700,21600,99.8,20200,93.3,-,-,7268000,87.8,-,6665000,89.7,134000,81.5,124000,83.4,234000,81.3,218000,83.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 39,National,E92000001,England,2020/09/24,All state-funded schools,77,16700,21600,99.8,20100,92.9,-,-,7272000,87.9,-,6638000,89.9,135000,81.5,124000,83.5,236000,81.4,217000,83.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Week 39,National,E92000001,England,2020/09/25,All state-funded schools,77,16600,21600,99.8,19900,92.1,-,-,7133000,86,-,6497000,89.2,134000,80.1,122000,82.8,232000,80.1,213000,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
