areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
nation,England,E92000001,2022-08-22,670,838915
nation,England,E92000001,2022-08-21,605,838245
nation,England,E92000001,2022-08-20,585,837640
nation,England,E92000001,2022-08-19,648,837055
nation,England,E92000001,2022-08-18,692,836407
nation,England,E92000001,2022-08-17,788,835715
nation,England,E92000001,2022-08-16,818,834927
nation,England,E92000001,2022-08-15,861,834109
nation,England,E92000001,2022-08-14,759,833248
nation,England,E92000001,2022-08-13,762,832489
nation,England,E92000001,2022-08-12,740,831727
nation,England,E92000001,2022-08-11,901,830987
nation,England,E92000001,2022-08-10,1009,830086
nation,England,E92000001,2022-08-09,973,829077
nation,England,E92000001,2022-08-08,975,828104
nation,England,E92000001,2022-08-07,899,827129
nation,England,E92000001,2022-08-06,775,826230
nation,England,E92000001,2022-08-05,910,825455
nation,England,E92000001,2022-08-04,1017,824545
nation,England,E92000001,2022-08-03,1059,823528
nation,England,E92000001,2022-08-02,1062,822469
nation,England,E92000001,2022-08-01,1120,821407
nation,England,E92000001,2022-07-31,1138,820287
nation,England,E92000001,2022-07-30,936,819149
nation,England,E92000001,2022-07-29,996,818213
nation,England,E92000001,2022-07-28,1165,817217
nation,England,E92000001,2022-07-27,1197,816052
nation,England,E92000001,2022-07-26,1318,814855
nation,England,E92000001,2022-07-25,1345,813537
nation,England,E92000001,2022-07-24,1307,812192
nation,England,E92000001,2022-07-23,1139,810885
nation,England,E92000001,2022-07-22,1231,809746
nation,England,E92000001,2022-07-21,1550,808515
nation,England,E92000001,2022-07-20,1715,806965
nation,England,E92000001,2022-07-19,1834,805250
nation,England,E92000001,2022-07-18,1754,803416
nation,England,E92000001,2022-07-17,1694,801662
nation,England,E92000001,2022-07-16,1373,799968
nation,England,E92000001,2022-07-15,1487,798595
nation,England,E92000001,2022-07-14,1839,797108
nation,England,E92000001,2022-07-13,1946,795269
nation,England,E92000001,2022-07-12,1945,793323
nation,England,E92000001,2022-07-11,2005,791378
nation,England,E92000001,2022-07-10,1889,789373
nation,England,E92000001,2022-07-09,1601,787484
nation,England,E92000001,2022-07-08,1696,785883
nation,England,E92000001,2022-07-07,1967,784187
nation,England,E92000001,2022-07-06,1945,782220
nation,England,E92000001,2022-07-05,1926,780275
nation,England,E92000001,2022-07-04,1911,778349
nation,England,E92000001,2022-07-03,1795,776438
nation,England,E92000001,2022-07-02,1374,774643
nation,England,E92000001,2022-07-01,1326,773269
nation,England,E92000001,2022-06-30,1596,771943
nation,England,E92000001,2022-06-29,1572,770347
nation,England,E92000001,2022-06-28,1454,768775
nation,England,E92000001,2022-06-27,1438,767321
nation,England,E92000001,2022-06-26,1276,765883
nation,England,E92000001,2022-06-25,1011,764607
nation,England,E92000001,2022-06-24,1072,763596
nation,England,E92000001,2022-06-23,1210,762524
nation,England,E92000001,2022-06-22,1133,761314
nation,England,E92000001,2022-06-21,1155,760181
nation,England,E92000001,2022-06-20,1055,759026
nation,England,E92000001,2022-06-19,942,757971
nation,England,E92000001,2022-06-18,797,757029
nation,England,E92000001,2022-06-17,829,756232
nation,England,E92000001,2022-06-16,822,755403
nation,England,E92000001,2022-06-15,842,754581
nation,England,E92000001,2022-06-14,763,753739
nation,England,E92000001,2022-06-13,722,752976
nation,England,E92000001,2022-06-12,659,752254
nation,England,E92000001,2022-06-11,583,751595
nation,England,E92000001,2022-06-10,589,751012
nation,England,E92000001,2022-06-09,627,750423
nation,England,E92000001,2022-06-08,664,749796
nation,England,E92000001,2022-06-07,577,749132
nation,England,E92000001,2022-06-06,606,748555
nation,England,E92000001,2022-06-05,531,747949
nation,England,E92000001,2022-06-04,443,747418
nation,England,E92000001,2022-06-03,404,746975
nation,England,E92000001,2022-06-02,412,746571
