t,NHS.region,date,deaths_adj,hosp_adm_adj,known_hosp_beds_adj,icu_bed_adj
0,East of England,2020-01-01,,,,
0,London,2020-01-01,,,,
0,Midlands,2020-01-01,,,,
0,North East and Yorkshire,2020-01-01,,,,
0,North West,2020-01-01,,,,
0,South East,2020-01-01,,,,
0,South West,2020-01-01,,,,
1,East of England,2020-01-02,,,,
1,London,2020-01-02,,,,
1,Midlands,2020-01-02,,,,
1,North East and Yorkshire,2020-01-02,,,,
1,North West,2020-01-02,,,,
1,South East,2020-01-02,,,,
1,South West,2020-01-02,,,,
2,East of England,2020-01-03,,,,
2,London,2020-01-03,,,,
2,Midlands,2020-01-03,,,,
2,North East and Yorkshire,2020-01-03,,,,
2,North West,2020-01-03,,,,
2,South East,2020-01-03,,,,
2,South West,2020-01-03,,,,
3,East of England,2020-01-04,,,,
3,London,2020-01-04,,,,
3,Midlands,2020-01-04,,,,
3,North East and Yorkshire,2020-01-04,,,,
3,North West,2020-01-04,,,,
3,South East,2020-01-04,,,,
3,South West,2020-01-04,,,,
4,East of England,2020-01-05,,,,
4,London,2020-01-05,,,,
4,Midlands,2020-01-05,,,,
4,North East and Yorkshire,2020-01-05,,,,
4,North West,2020-01-05,,,,
4,South East,2020-01-05,,,,
4,South West,2020-01-05,,,,
5,East of England,2020-01-06,,,,
5,London,2020-01-06,,,,
5,Midlands,2020-01-06,,,,
5,North East and Yorkshire,2020-01-06,,,,
5,North West,2020-01-06,,,,
5,South East,2020-01-06,,,,
5,South West,2020-01-06,,,,
6,East of England,2020-01-07,,,,
6,London,2020-01-07,,,,
6,Midlands,2020-01-07,,,,
6,North East and Yorkshire,2020-01-07,,,,
6,North West,2020-01-07,,,,
6,South East,2020-01-07,,,,
6,South West,2020-01-07,,,,
7,East of England,2020-01-08,,,,
7,London,2020-01-08,,,,
7,Midlands,2020-01-08,,,,
7,North East and Yorkshire,2020-01-08,,,,
7,North West,2020-01-08,,,,
7,South East,2020-01-08,,,,
7,South West,2020-01-08,,,,
8,East of England,2020-01-09,,,,
8,London,2020-01-09,,,,
8,Midlands,2020-01-09,,,,
8,North East and Yorkshire,2020-01-09,,,,
8,North West,2020-01-09,,,,
8,South East,2020-01-09,,,,
8,South West,2020-01-09,,,,
9,East of England,2020-01-10,,,,
9,London,2020-01-10,,,,
9,Midlands,2020-01-10,,,,
9,North East and Yorkshire,2020-01-10,,,,
9,North West,2020-01-10,,,,
9,South East,2020-01-10,,,,
9,South West,2020-01-10,,,,
10,East of England,2020-01-11,,,,
10,London,2020-01-11,,,,
10,Midlands,2020-01-11,,,,
10,North East and Yorkshire,2020-01-11,,,,
10,North West,2020-01-11,,,,
10,South East,2020-01-11,,,,
10,South West,2020-01-11,,,,
11,East of England,2020-01-12,,,,
11,London,2020-01-12,,,,
11,Midlands,2020-01-12,,,,
11,North East and Yorkshire,2020-01-12,,,,
11,North West,2020-01-12,,,,
11,South East,2020-01-12,,,,
11,South West,2020-01-12,,,,
12,East of England,2020-01-13,,,,
12,London,2020-01-13,,,,
12,Midlands,2020-01-13,,,,
12,North East and Yorkshire,2020-01-13,,,,
12,North West,2020-01-13,,,,
12,South East,2020-01-13,,,,
12,South West,2020-01-13,,,,
13,East of England,2020-01-14,,,,
13,London,2020-01-14,,,,
13,Midlands,2020-01-14,,,,
13,North East and Yorkshire,2020-01-14,,,,
13,North West,2020-01-14,,,,
13,South East,2020-01-14,,,,
13,South West,2020-01-14,,,,
14,East of England,2020-01-15,,,,
14,London,2020-01-15,,,,
14,Midlands,2020-01-15,,,,
14,North East and Yorkshire,2020-01-15,,,,
