"NHS.region","Start.date","End.date","Central.estimate","Lower.bound","Upper.bound","Test","Median.mean","Min.age","Max.age","Data.source","N.tests"
"North East and Yorkshire",2020-06-15,2020-06-15,0.0466268266224148,0.0114079043767769,0.112672238459251,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-16,2020-06-16,0.0463452025691624,0.0118854039151608,0.108075931782738,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-17,2020-06-17,0.0461234801828052,0.0125134950364888,0.10432247609749,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-18,2020-06-18,0.0459580842085634,0.0130733833272811,0.101256299826022,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-19,2020-06-19,0.0458445307703657,0.0137176795048832,0.0993039079494333,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-20,2020-06-20,0.0457773297757562,0.0141706838953384,0.0972297231163135,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-21,2020-06-21,0.0457503075011755,0.0148318688274709,0.0955700260936118,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-22,2020-06-22,0.0505182644303426,0.0150311412289516,0.123581539286347,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-23,2020-06-23,0.0498699732476867,0.0157234705562815,0.116796464304617,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-24,2020-06-24,0.0492989177093516,0.0164365984333308,0.11096087133895,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-25,2020-06-25,0.0487985546122086,0.017100718003991,0.105856030221792,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-26,2020-06-26,0.0483616300727375,0.0176653378712884,0.10220103278783,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-27,2020-06-27,0.0479802380543831,0.0181924875035201,0.0987135355217997,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-28,2020-06-28,0.0476462868908841,0.0183092599919916,0.0962340890338842,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-29,2020-06-29,0.0499390372936236,0.0164998029818643,0.111127896484132,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-06-30,2020-06-30,0.0495935850869296,0.017202583549395,0.106429705408078,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-01,2020-07-01,0.0493068006187436,0.0180714626138318,0.10231229396133,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-02,2020-07-02,0.0490758067678642,0.0189251260502763,0.0988974790067356,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-03,2020-07-03,0.0455177433367469,0.015616605521944,0.0999673242549716,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-04,2020-07-04,0.0452440445600351,0.0163395984439959,0.0959015260604915,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-05,2020-07-05,0.0450428419739744,0.0171400705280065,0.0931418939636219,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-06,2020-07-06,0.0449091564108017,0.0178027990562786,0.0903048744217253,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-07,2020-07-07,0.0448368279173789,0.0185208702273556,0.0883060703022619,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-08,2020-07-08,0.0448182742286723,0.0190777308262849,0.0866216237735977,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-09,2020-07-09,0.0448446833330918,0.0195737451890967,0.0856663633912222,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-10,2020-07-10,0.0595341857759221,0.0203845329289575,0.134868341223961,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-11,2020-07-11,0.0588691561847138,0.0208218045693099,0.130381759280659,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-12,2020-07-12,0.0583057991798626,0.0213534087087541,0.126103463748892,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-13,2020-07-13,0.0578355943037694,0.0216409827943454,0.122433986015898,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-14,2020-07-14,0.0574489262433194,0.0219826212793953,0.119707412038046,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-15,2020-07-15,0.0535347350038783,0.0171133141932588,0.129616499225185,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-16,2020-07-16,0.0531931931327614,0.0178657431357017,0.125921231371925,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-17,2020-07-17,0.0529311533202413,0.018381649523945,0.12171997969386,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-18,2020-07-18,0.0527412333989196,0.0189652322491611,0.11834121259791,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-19,2020-07-19,0.0526131377411875,0.0195093464515772,0.115576530511865,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-20,2020-07-20,0.0525340434022003,0.0199272656451657,0.113885044087188,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-21,2020-07-21,0.0524895677839248,0.0204002830543166,0.111646350842391,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-22,2020-07-22,0.0524652055309464,0.020847722026795,0.111125869577249,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-23,2020-07-23,0.0524480203105491,0.0212303210782221,0.109544894394076,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-24,2020-07-24,0.0524282900117907,0.0214289997283366,0.10810027532425,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-25,2020-07-25,0.0524007834166438,0.0217926904009621,0.107056848457824,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-26,2020-07-26,0.0582958298123812,0.0189336003921486,0.132011895665565,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-27,2020-07-27,0.057939023355341,0.0194981139599786,0.127133427154011,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-28,2020-07-28,0.0576844395655152,0.0203120119047578,0.123981057455088,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-29,2020-07-29,0.0575277675752268,0.0211757768241896,0.119928565447811,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-30,2020-07-30,0.0574634061361732,0.0218158477696837,0.117498588226848,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-07-31,2020-07-31,0.073820239852872,0.0255159660311402,0.166539937147894,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-08-01,2020-08-01,0.0725341603784815,0.0260882742213513,0.157362132381939,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-08-02,2020-08-02,0.071411129175106,0.0266452230944507,0.14904439512833,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-08-03,2020-08-03,0.0704425883662071,0.0271356388252154,0.143872454427466,"","","","","ONS-CIS",""
"North East and Yorkshire",2020-08-04,2020-08-04,0.0696206887726455,0.0275051099499043,0.138699863694226,"","","","","ONS-CIS",""
